"ID","Date","BU Name","Line/ Location","Machine No","Problem Description","Risk Level","Photo","Recommendation / Action","Points Categories","Audit","Target ","Responsibility","Alternate Responsibility","Status ","Remarks ","If additional Mail CC Person ","After Photo","Attachments"
"53","09-01-2025","Process","Phosphating / Manual Spray Painting booth","IKJ0017","Cotton wastes, carton boxes dumped around the machine area. Fire Extinguishers also blocked by this dumped materials.","Rank A","IMG-20230419-WA0015.jpg","Need to clean the dumped materials ","Fire","Fire Patrol","19-04-2023","Kumar M - Process","Ramasami.M - Process","Closed",,"Subbian.K - Intelligence Officer",,"1"
"54","09-01-2025","Process","Heat Treatment / Rotary Furnace","IVX 0101","Found Oil stagnation in the trolley racks.","Rank A","IMG-20230419-WA0004.jpg","Need to clean the oil stagnant.","Fire","Fire Patrol","19-04-2023","Karuppaiah.M - Process","Ramasami.M - Process","Closed",,"Subbian.K - Intelligence Officer",,"1"
"55","09-01-2025","APU","APU ","Store Gangway","Wooden pallets and Carton boxes dumped in the store gangway. In case of emergency, difficult to use this way to escape.","Rank A","IMG-20230419-WA0003.jpg","Need to clear the materials kept in Gangway","Fire","Fire Patrol","19-04-2023","Vallavathevan - ABU",,"Closed","This point belongs to CSBU","Subbian.K - Intelligence Officer",,"0"
"56","09-01-2025","ESD","Store",,"Improper arrangements of packing boxes","Rank A","IMG-20230419-WA0001.jpg","Need to maintain 5S ","Fire","Fire Patrol","19-04-2023","Jayagopi.P - ESD PU",,"Closed",,"Subbian.K - Intelligence Officer",,"0"
"57","09-01-2025","APU","Rotor Line","ITA 0097","Spillage of varnish around the varnish tins and secondary container.","Rank A","ITA0097.jpg","Need to clean the spilled varnish","Fire","Fire Patrol","20-04-2023","Prasath.M - ABU","Saravanan.E - NPI","Closed","Cleaned the secondary containment and varnish mixer setup","Subbian.K - Intelligence Officer",,"1"
"58","09-01-2025","CMSPU","Lamination Press Machine","IP 0070","Used cotton wastes, Anabond & Plastic covers dumped in this area.","Rank A","IMG-20230420-WA0011.jpg","Need to clear this dumped materials","Fire","Fire Patrol","20-04-2023","Ramesh.A - CMSBU",,"Closed",,"Subbian.K - Intelligence Officer",,"0"
"59","09-01-2025","GRS","Varnish Plant","ITA 0093","Used cotton wastes, Plastic covers and hand gloves dumped behind the machine area","Rank A","IMG-20230420-WA0012.jpg","Need to clear the materials dumped","Fire","Fire Patrol","20-04-2023","Selvadurai - WED",,"Closed","Waste gloves removed","Subbian.K - Intelligence Officer",,"0"
"60","09-01-2025","GRS","GRS","ITA0098","Varnish spillage ","Rank A","IMG-5926.jpg","need to clean the spillage periodically","Fire","Fire Patrol","22-04-2023","Selvadurai - WED",,"Closed",,"Subbian.K - Intelligence Officer",,"0"
"61","09-01-2025","Wiper","Wiper Motor line","Two pole/Four pole Magnetizer","It was Observed that, two hand push button is close to each other, Operator may latch the push button","Rank A","20230424_082205_HDR.jpg","Distance between both push buttons need to be increased","Safety","EHS Patrol","26-04-2023","Prabakaran.P - Wiper","Senthil Murugan S - EPU","Closed","completed","Sakthi.K ( LTVS - Padi, EPU )","magnetiser.jpg","0"
"62","09-01-2025","Wiper","Wiper Motor line","EIT0015- Yoke and Gearwheel Assly","For manual clamping process, there is no safety guard available, Operator is using single hand Operation  for manual process, This may lead to crush injury","Rank A","20230424_082257.jpg","Provide adequate guardings","Safety","EHS Patrol","26-04-2023","Prabakaran.P - Wiper","Prabakaran.P - Wiper","Closed","FOR MANUAL OPERATION PHOTO GUARD IS WORKING VERIFIED BY SAFETY DEPARTMENT.","Sakthi.K ( LTVS - Padi, EPU )",,"0"
"63","09-01-2025","Wiper","Wiper motor line","E-IT0154-Brush release Station","It was Observed that, Two hand push button is Close to each other, Operator may latch the push button using single hand","Rank A","20230424_082257.jpg","Distance between both the push button should be incresed","Safety","EHS Patrol","26-04-2023","Prabakaran.P - Wiper","Stephen Paulraj D - EPU","Closed","completed","Senthil Murugan S - EPU","brush braid removal.jpg","0"
"64","09-01-2025","Wiper","Wiper Motor line","Angle Off wipe testing","Two hand push button is damaged and Rubber band is used to hold the push button, Rubber band may used to latch the push button","Rank B","20230424_082910.jpg","Suggested to do Corrective actions","Safety","EHS Patrol","26-04-2023","Prabakaran.P - Wiper","Stephen Paulraj D - EPU","Closed","completed","Senthil Murugan S - EPU","push button.jpg","0"
"65","09-01-2025","EPU","Yoke line","E-IT0031","Machine panel guard is damaged and hanging","Rank B","20230424_083333.jpg","Suggested to do corrective actions","Safety","EHS Patrol","26-04-2023","Stephen Paulraj D - EPU","Tikkaram.M - EPU","Closed","completed","Senthil Murugan S - EPU","IMG-20230904-WA0020.jpg","0"
"66","09-01-2025","Wiper","Wiper Motor line","Wiper line Noise Booth","It was Observed that, Noise booth is entirely blocked with bins and materials","Rank A","20230424_082602.jpg","Remembering APU noise booth fire Incident- Avoid These kind of Unsafe acts","Safety","EHS Patrol","24-04-2023","Prabakaran.P - Wiper","Senthil Murugan S - EPU","Closed","completed","Stephen Paulraj D - EPU","IMG-20230904-WA0015.jpg","0"
"67","09-01-2025","GRS","yoke line","IPH0116","OIL SPILLAGE","Rank A","IMG-6011.jpg","PERIODIC CLEANING","Fire","Fire Patrol","26-04-2023","Selvadurai - WED",,"Closed","Oil spillage Cleaned","Subbian.K - Intelligence Officer",,"0"
"68","09-01-2025","GRS","YOKE LINE","IA0039","OIL AND WATER MIXED AND SPILLAGE IN THE FLOOR","Rank A","IMG-6012.jpg","PERIODIC CLEANING","Fire","Fire Patrol","26-04-2023","Selvadurai - WED","Sasikumar.S - CSBU","Closed","OIL AND WATER MIXED AND SPILLAGE IN THE FLOOR CLEANED","Subbian.K - Intelligence Officer",,"0"
"69","09-01-2025","CMSPU","CMSPU","ESD STORE AREA","FIRE HAZARD MATERIALS ARE KEPT UNEVEN ","Rank A","IMG-6013.jpg","ROUTINE CLEANING","Fire","Fire Patrol","26-04-2023","Rangadesikan.N - CSBU",,"Closed",,"Subbian.K - Intelligence Officer",,"0"
"70","09-01-2025","APU","ROTOR INE","ITR0012","OIL SPILLAGE IN SECONDARY CONTAINER","Rank A","IMG-6016.jpg","CLEAN PERIODICALLY","Fire","Fire Patrol","26-04-2023","Prasath.M - ABU",,"Closed","Corrected","Subbian.K - Intelligence Officer",,"1"
"71","09-01-2025","APU","NEAR APU IFT PACKING AREA","APU STORE GANGWAY","GANGWAY IS BLOCKED BY THE WOODEN PALLETS","Rank C","PHOTO-2023-04-23-16-33-07.jpg","MANTAIN THE GANGWAY WITHOUT ANY STORAGE OF MATERIALS","Environment","Fire Patrol","26-04-2023","Vallavathevan - ABU",,"Closed","Cleared","Subbian.K - Intelligence Officer",,"0"
"72","09-01-2025","HR/Canetten","NEAR APU STORE ENTRANCE OPPOSITE",,"DRY LEAVES ACCUMULATION ","Rank A","IMG-6018.jpg","NEED TO BE CLEANED","Fire","Fire Patrol","26-04-2023","Environment - Ganesh.V",,"Closed",,"Subbian.K - Intelligence Officer",,"0"
"73","09-01-2025","Process","heat treatment backside entrance",,"ammonia cyliders are kept without the safety chain lock.","Rank C","IMG-6075.jpg","Dont keep the ammonia cylinders without the safety chain lock","Safety","Fire Patrol","28-04-2023","Ramasami.M - Process",,"Closed",,"Subbian.K - Intelligence Officer",,"1"
"74","09-01-2025","Process","HEAT TREATMENT BACKSIDE ENTRANCE",,"FIRE EXTINGUISHER 100 LTRS FOAM DIFFICULT TO ACCESS","Rank B","IMG-6076.jpg","EXTINGUISHERS ACCESS AREA SHOULD NOT TO BE BLOCKED","Safety","Fire Patrol","28-04-2023","Ramasami.M - Process",,"Closed",,"Subbian.K - Intelligence Officer",,"1"
"75","09-01-2025","Process","PHOSPATING INSIDE","NEAR MANUAL SPRAY PAINTING IKJ0014","CARTON BOXES ARE DUMPED","Rank A","IMG-6078.jpg","NEED TO BE CLEARED PRIODICALLY","Fire","Fire Patrol","27-04-2023","Ramasami.M - Process",,"Closed","Dust Bin moved to outside of WPU area","Subbian.K - Intelligence Officer",,"1"
"76","09-01-2025","GRS","LD GRS Main assembly 2","Station 10","It was Observed that, Side guard is always in Open Condition, Door is not aligned properly","Rank A","20230429_083615.jpg","Suggested to align properly and provide interlock","Safety","EHS Patrol","19-07-2023","Rasheed - CSBU","Selvadurai - WED","Closed","Door lock corrected on 19.07.2023","Rangadesikan.N - CSBU","IT0671 BS6 DOOR.jpg","0"
"77","09-01-2025","GRS","LDGRS Armature line","IVT0621/Armature test rig","Class A materials are placed inside machines and near by controller, Excessive heat in controller may lead to fire in machineries","Rank A","20230429_083810.jpg","Avoid placing unwanted materials inside machineries","Fire","EHS Patrol","01-05-2023","Kadar Naina.B.A - CSBU","Rasheed - CSBU","Closed","Auto door Flow Control adjusted","Rangadesikan.N - CSBU",,"0"
"78","09-01-2025","GRS","LDGRS Armature line","IL0143","While pressing the two hand push button, Door is closing with full speed, there is no gap between bottom area and door, so that injury may occur, if unknowingly operator places his hand","Rank A","20230429_083940.jpg","Adjust the sensor level of Cylinder","Safety","EHS Patrol","01-05-2023","Selvadurai - WED","Kadar Naina.B.A - CSBU","Closed","Auto door Flow control adjusted","Rangadesikan.N - CSBU",,"0"
"79","09-01-2025","GRS","Armature/Drive line","IVT565/ HF Testing","Push button is damaged and hanging","Rank A","20230429_084134.jpg",,"Safety","EHS Patrol","01-05-2023","Selvadurai - WED","Dinesh kumar.S - GRS","Closed","Push Button Box Fixed","Rangadesikan.N - CSBU",,"0"
"80","09-01-2025","GRS","Drive line","No. Name not available, Opposite laser marking machine","Side guard and SOP is not available in the machine","Rank B","20230429_084649.jpg","Provide side guard with proper SOP. Machine not handed over to production and the same is unused.","Safety","EHS Patrol","01-05-2023","Selvadurai - WED","Dinesh kumar.S - GRS","Closed",,"Rangadesikan.N - CSBU",,"0"
"81","09-01-2025","GRS","Yoke line","ITD0026/Soaping Plant","Soaping plant platform is damaged and uneven, Materials may fall at any time, if placed over the platform and SOP is not available for the machine","Rank A","20230429_085103.jpg","Platform to be modified and SOP to be placed - New Top Unloading Tray & Bottom Soap collecting tray introduced on 23.06.2023","Safety","EHS Patrol","23-06-2023","Dinesh kumar.S - GRS","Selvadurai - WED","Closed","New Top Unloading Tray & Bottom Soap collecting tray introduced","Rangadesikan.N - CSBU",,"0"
"82","09-01-2025","GRS","Yoke line","BBT near Soaping plant","BBT and Switch box is covered with heavy oil mixed dust, Dust are source of Explosion","Rank A","20230429_085204.jpg","Suggested to clean the Electrical devices, Especially in Yoke line area","Fire","EHS Patrol","29-04-2023","Ganesh.V - WED","Selvadurai - WED","Closed",,"Rangadesikan.N - CSBU",,"0"
"83","09-01-2025","GRS","Yoke line","ID0103/ Deburring machine","This machine doesn't have front guard, and DE burring scraps are exposed outside","Rank A","ID0103 AFTER.jpg","Suggested to provide acrylic door interlock as implemented in Drilling machine","Safety","EHS Patrol","29-04-2023","Selvadurai - WED","Dinesh kumar.S - GRS","Closed","RHS side door fabricated and fixed on 29.04.2023","Rangadesikan.N - CSBU",,"0"
"84","09-01-2025","GRS","Yoke line","IA0040/Yoke Machining","Observation found that, While Operation in auto mode, door is closing with full speed, there is chance of injury, if operator placed his hand between the door","Rank A","IA0040 AFTER.jpg","Please find the image and suggested to provide the provide rubber to reduce the impact","Safety","Fire Patrol","29-04-2023","Selvadurai - WED","Dinesh kumar.S - GRS","Closed","Auto door rapid movement controlled by adjusting the feed control. Slow movement of the auto door ensured. Completed on 29.4.2023","Rangadesikan.N - CSBU",,"1"
"85","09-01-2025","GRS","Yoke line","IPh0112/ Press machine","Ladder available behind the machine, Grouting is not properly done for the ladder, for weak and moving","Rank A","20230429_085757.jpg","Suggest to do corrective action","Safety","EHS Patrol","01-05-2023","Dinesh kumar.S - GRS","Selvadurai - WED","Closed",,"Rangadesikan.N - CSBU",,"0"
"86","09-01-2025","Store","chemical store near east gate","-","fire extinguisher blocked by wooden boxes and chemical barrels ","Rank A","IMG-6106.jpg","blockes materials need to be removed and the fire extinguisher need to accessed","Safety","Fire Patrol","30-04-2023","ELAMARAN.R - Stores","ELAMARAN.R - Stores","Closed",,"Subbian.K - Intelligence Officer","IMG-20230913-WA0014.jpg","0"
"87","09-01-2025","WED","opposite to substation -2",,"Dry leaves accumulation","Rank A",,"Dry leaves need to be cleared","Fire","Fire Patrol","01-05-2023","Environment - Ganesh.V",,"Closed",,"Subbian.K - Intelligence Officer",,"1"
"88","09-01-2025","ESD","CAV line","IKT115","It was Observed that, Two hand push button is close to the ram, While pressing long hold, his hand may reach the pinch point","Rank A","20230504_132728.jpg","Place the two hand push button away from the ram ","Safety","EHS Patrol","08-05-2023","Prakash.K - ESD","Karthikeyan.S - ESD","Closed",,"Arunachalam.S - ESD",,"1"
"89","09-01-2025","ESD","Distributor line","IPH0066/Press Machine","It was Observed that. two hand push button is close to the ram, While pressing two hand push button, Operator hand may reach the pinch point","Rank A","20230504_132834.jpg","Place the two hand push button away from the ram","Safety","EHS Patrol","08-05-2023","Prakash.K - ESD","Karthikeyan.S - ESD","Closed",,"Arunachalam.S - ESD",,"0"
"90","09-01-2025","ESD","CAV line","Yoke Gimping-IPh0011","It was Observed that, Two hand push button is close to the door, While pressing two hand hold, his hand reached the pinch point","Rank A","20230504_133558.jpg","Place the push button away from the door","Safety","EHS Patrol","08-05-2023","Prakash.K - ESD","Karthikeyan.S - ESD","Closed",,"Arunachalam.S - ESD",,"1"
"91","09-01-2025","ESD","CAV line","CE Bracket Bearing machine","Door is available in the machine without interlock, Operator may easily bypass the door while Operation","Rank A","20230504_133656.jpg","Connect the door with Interlock","Safety","EHS Patrol","08-05-2023","Prakash.K - ESD","Karthikeyan.S - ESD","Closed",,"Arunachalam.S - ESD",,"1"
"92","09-01-2025","ESD","CAV line","IPH0034/ Press machine","Machine panel door is damaged and unable to close, Electrical wiring is laying outside the panel board","Rank B","20230504_132705.jpg","Suggested to take corrective actions","Safety","EHS Patrol","08-05-2023","Prakash.K - ESD","Karthikeyan.S - ESD","Closed",,"Arunachalam.S - ESD",,"1"
"93","09-01-2025","ESD","CAV Line","IKT088 Pneumatic press machine","Air leakage observed in the air pipe line- Environment hazard","Rank B","20230504_132605_HDR.jpg","Suggested to take corrective actions","Environment","EHS Patrol","08-05-2023","Prakash.K - ESD","Karthikeyan.S - ESD","Closed",,"Arunachalam.S - ESD",,"0"
"94","09-01-2025","ESD","CAV line","Yoke top drilling machine","Front door is not available in the machine","Rank A","20230504_132448_HDR.jpg","Please check the another drilling machine and provide front door with interlock","Safety","EHS Patrol","08-05-2023","Prakash.K - ESD","Karthikeyan.S - ESD","Closed",,"Arunachalam.S - ESD",,"0"
"95","09-01-2025","ESD","Main Assembly line","IT030/ Press machie","Old type Emergency push button is Still available in the machine","Rank B","20230504_132229_HDR.jpg","Replace with Mushroom type push button","Safety","EHS Patrol","08-05-2023","Prakash.K - ESD","Karthikeyan.S - ESD","Closed",,"Arunachalam.S - ESD",,"1"
"96","09-01-2025","ESD","Main Assembly line","IT0020- Press machine","Old type Emergency push button is still available in the machine","Rank B","20230504_132223_HDR.jpg","Replace with Mushroom type push button","Safety","EHS Patrol","08-05-2023","Prakash.K - ESD","Karthikeyan.S - ESD","Closed",,"Arunachalam.S - ESD",,"1"
"97","09-01-2025","ESD","Main Assembly line","IT0010","Old type Emergency push button is used in the machine","Rank B","20230504_132218_HDR.jpg","Replace with mushroom type push button","Safety","EHS Patrol","08-05-2023","Prakash.K - ESD","Karthikeyan.S - ESD","Closed",,"Arunachalam.S - ESD",,"1"
"98","09-01-2025","APU","Core line","IP0112/ Press Machine","Fencing provided behind the machine is not covering the Sheet roller properly, There is a huge gap Observed observed between Sheet roller and Fence","Rank B","20230505_100314.jpg","Place the fence close the sheet roller","Safety","EHS Patrol","10-05-2023","Prasath.M - ABU","Karthik - ABU","Closed","Position corrected","Vallavathevan - ABU",,"0"
"99","09-01-2025","APU","Core line","IVW0181-  Stator core tig welding machine","It was Observed that, Side guard is open while operation, Fumes are exposed outside, and there is chances of injury, if the operator place his hand inside while Operation","Rank A","20230505_100434.jpg","Provide the door with interlock","Environment","EHS Patrol","08-05-2023","Prasath.M - ABU","Karthik - ABU","Closed","Awareness given to operator ","Vallavathevan - ABU",,"0"
"100","09-01-2025","APU","Core line","IPH0085- Press machine","Please find the image that, Trolleys are improperly placed near the machines, It may automatically latch the push button cause Operation start, or it may damage the safety devices in the machines","Rank A","20230505_100711.jpg","Mark the area for trolley placement nearby machineries","Safety","EHS Patrol","08-05-2023","Raja Mohan.T - ABU","Vallavathevan - ABU","Closed","Cleared","Prasath.M - ABU",,"0"
"101","09-01-2025","APU","Core line","Near by IPH0085 press machine","Paint cans are Stored improperly, The secondary containments are not effective, and the land is contaminated too long time","Rank B","20230505_100801.jpg","Provide new Secondary containment and Display SOP for handling paint without leakage","Environment","EHS Patrol","10-05-2023","Raja Mohan.T - ABU","Prasath.M - ABU","Closed","Secondary containment provided ","Vallavathevan - ABU",,"1"
"102","09-01-2025","APU","Core line","ITA0070","In Paint plant- Water curtain is not working properly","Rank B","20230505_100852.jpg","Suggested to take corrective actions","Environment","EHS Patrol","15-05-2023","Prasath.M - ABU","Karthik - ABU","Closed","Water curtain function restored","Vallavathevan - ABU",,"0"
"103","09-01-2025","APU","Core/Stator line","IPH0126/ Riveting machine","In front face of the machine, rotating gear is not guarded properly, The guard is just fixed with cable","Rank A","20230505_100552.jpg","Fix the guard with proper nut and bolt","Safety","EHS Patrol","08-05-2023","Prasath.M - ABU","Karthik - ABU","Closed","Guard fixed properly","Vallavathevan - ABU",,"0"
"104","09-01-2025","APU","Stator line","IOB0049","PPE Stickers are not marked properly in most of the machines including this machine","Rank B","20230505_101119.jpg","Suggested to take corrective actions","Safety","EHS Patrol","08-05-2023","Raja Mohan.T - ABU","Vallavathevan - ABU","Closed","Updated","Prasath.M - ABU",,"0"
"105","09-01-2025","APU","Stator line","IZ0076/ Windingmachine","Interlock in both both 2 side doors are loosened condition, It is not effective","Rank A","20230505_101706.jpg","Suggested to take corrective actions","Safety","EHS Patrol","08-05-2023","Raja Mohan.T - ABU","Vallavathevan - ABU","Closed","Door function ensured","Prasath.M - ABU",,"0"
"106","06-05-2023","APU","Process plant Audit","ITA0031","1. PPEs are not marked in the sticker
2. Leakage is Observed in the Air line
3.Secondary Containment is not effective, Varnish leakage Observed over the secondary containment
4.5 S need to be improved","Rank A",,"Suggested tot take corrective actions","Fire","EHS Patrol","15-05-2023","Prasath.M - ABU","Karthik - ABU","Closed","Varnish leakage corrected","Vallavathevan - ABU",,"0"
"107","06-05-2023","APU","Process plant Audit","ITA0094","1. Camera is not working
2.5S need to be improved
3.Safety Check sheet is not available at the time of audit","Rank A",,"Sugested to take corrective action","Safety","EHS Patrol","22-05-2023","Prasath.M - ABU","Karthik - ABU","Closed","Corrected","Vallavathevan - ABU",,"0"
"108","06-05-2023","APU","Process plant Audit","ITA0096","1. Tube light is hanging, It may fall
2. Flame proof lights are not available in the machine( All machines)","Rank A",,"Suggested to take corrective actions","Safety","EHS Patrol","12-06-2023","Prasath.M - ABU","Prasath.M - ABU","Closed","Flame proof light provided","Vallavathevan - ABU",,"0"
"109","06-05-2023","EPU","Process plant Audit","EITA0012","1. No guard available for leg press
2.GSM Dialer not available for the machine","Rank A",,"Suggest to take corrective actions","Safety","EHS Patrol","08-05-2023","Stephen Paulraj D - EPU","Tikkaram.M - EPU","Closed","POINT NO:1 COMPLETED","Senthil Murugan S - EPU","EITA0012 & EITA0014.jpg","0"
